ranking,score,movie_name,score_num
193,8.7,绿里奇迹,103680
194,8.5,勇闯夺命岛,138690
195,8.7,末路狂花,101501
196,8.4,青蛇,213877
197,9.1,迁徙的鸟,50958
198,8.6,荒野生存,123859
199,8.8,哪吒闹海,77330
200,8.6,卡萨布兰卡,121334
201,8.5,终结者2：审判日,137094
202,9.0,忠犬八公物语,55292
203,8.5,这个男人来自地球,173526
204,8.4,变脸,208596
205,8.3,源代码,398161
206,8.6,燕尾蝶,105914
207,8.4,新龙门客栈,177337
208,8.4,英国病人,170345
209,8.5,黑客帝国3：矩阵革命,150434
210,9.1,黄金三镖客,49771
211,8.5,E.T. 外星人,148240
212,8.4,发条橙,181596
213,9.2,城市之光,42022
214,8.4,美国丽人,180171
215,8.6,叫我第一名,105847
216,8.4,无耻混蛋,217325
217,8.3,穆赫兰道,228256
218,8.6,非常嫌疑犯,112832
219,8.2,初恋这件小事,444799
220,8.5,模仿游戏,245109
221,8.9,勇士,85384
222,8.6,上帝也疯狂,93494
223,8.3,蓝色大门,267290
224,8.8,爱在午夜降临前,110824
225,8.6,无敌破坏王,178928
226,9.0,爱·回家,45945
227,8.8,房间,142514
228,8.5,血钻,126113
229,8.6,大卫·戈尔的一生,87910
230,8.3,国王的演讲,328057
231,8.6,枪火,96317
232,8.2,疯狂的石头,301010
233,8.7,头脑特工队,212151
234,8.5,麦兜故事,123851
235,8.3,曾经,197922
236,8.4,暖暖内含光,140221
237,8.7,千钧一发,81768
238,8.5,遗愿清单,122107
239,8.5,荒岛余生,128200
240,8.6,蝴蝶,93114
241,8.6,巴黎淘气帮,102322
242,8.9,与狼共舞,54574
243,8.4,彗星来的那一夜,164473
244,8.5,月球,138847
245,8.8,步履不停,63581
246,9.0,我爱你,53838
247,8.5,偷拐抢骗,112802
248,8.7,一个叫欧维的男人决定去死,104127
249,8.3,夜访吸血鬼,192281
250,8.8,寿司之神,79421
